code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh600000,2014-12-31,15.45,15.79,15.11,15.69,0.021484,468832339.0,7271524766.0,234138373200.0,292672966500.0,0.031417,130.254642,2014-09-30,2014-10-31,6.375742,2.515326,3.401388,1.265111,15.081313,15.004000000000001,13.892999999999997,11.6125,15.08156671322513,13.894080556801201,12.194826260413317
sh600000,2014-12-30,14.95,15.5,14.83,15.36,0.027425,443655559.0,6774519460.0,229213856750.0,286517320930.0,0.02973,127.515107,2014-09-30,2014-10-31,6.241646,2.462423,3.32985,1.2385030000000001,14.764121,14.558000000000003,13.737499999999997,11.514999999999999,14.777350069837695,13.70503640488554,12.076345781787643
sh600000,2014-12-29,15.4,15.88,14.71,14.95,0.012187,625216146.0,9556435997.0,223095518120.0,278869397650.0,0.041897000000000004,124.11135300000001,2014-09-30,2014-10-31,6.075039,2.3966939999999997,3.240966,1.205444,14.370023000000002,14.308000000000003,13.612999999999996,11.4215,14.486025104756544,13.530829710662966,11.965035456798086
sh600000,2014-12-26,14.3,14.84,14.19,14.77,0.036491,466983121.0,6790353352.0,220409418240.0,275511772800.0,0.031293,122.61702,2014-09-30,2014-10-31,6.001893,2.3678369999999997,3.2019439999999997,1.1909299999999998,14.197004000000002,14.254000000000005,13.473499999999998,11.334999999999999,14.254037657134816,13.381443364416961,11.863850206290014
sh600000,2014-12-25,13.75,14.27,13.53,14.25,0.058691999999999994,455721907.0,6359588287.0,212649574130.0,265811967660.0,0.030539,118.30013000000001,2014-09-30,2014-10-31,5.790589,2.2844740000000003,3.089216,1.149001,13.69718,14.118000000000006,13.354999999999999,11.250833333333333,13.996056485702226,13.235279508039799,11.765336642127819
sh600000,2014-12-24,14.11,14.2,13.31,13.46,-0.046067000000000004,417579539.0,5715187854.0,200860580200.0,251075725250.0,0.027982999999999997,111.741781,2014-09-30,2014-10-31,5.469569,2.157827,2.917955,1.0853030000000001,12.937833,14.046000000000006,13.2165,11.175166666666666,13.869084728553341,13.12846682467557,11.681110755129968
sh600000,2014-12-23,14.4,14.98,14.08,14.11,-0.038827999999999994,441578783.0,6398625351.0,210560385330.0,263200481670.0,0.029591000000000003,117.137976,2014-09-30,2014-10-31,5.733704,2.262032,3.058868,1.137714,13.562622,14.176000000000005,13.1095,11.113499999999998,14.073627092830014,13.093568595694052,11.620809417052858
sh600000,2014-12-22,14.18,15.2,14.14,14.68,0.041874,683449513.0,10043569171.0,219066368300.0,273832960370.0,0.045799,121.869942,2014-09-30,2014-10-31,5.965325,2.35341,3.182436,1.183674,14.110504999999998,14.012000000000004,12.957999999999998,11.038833333333333,14.055440639245022,12.986575816293424,11.536430064056697
sh600000,2014-12-19,13.96,14.2,13.63,14.09,0.014399,436244208.0,6099396161.0,210261929790.0,262827412240.0,0.029233,116.97186299999998,2014-09-30,2014-10-31,5.725573000000001,2.258824,3.0545299999999997,1.136101,13.543389000000001,13.628000000000004,12.767,10.954333333333333,13.743160958867534,12.80832063906115,11.429868356687281
sh600000,2014-12-18,14.22,14.34,13.71,13.89,-0.015591999999999998,499627853.0,7010664184.0,207277374360.0,259096717950.0,0.033481,115.311493,2014-09-30,2014-10-31,5.6443,2.226761,3.011172,1.119974,13.351146,13.406000000000002,12.602,10.883666666666667,13.569741438301302,12.673407022120221,11.339694389880785
sh600000,2014-12-17,13.49,14.39,13.33,14.11,0.061701,869703585.0,12037657249.0,210560385330.0,263200481670.0,0.05828,117.13790700000001,2014-09-30,2014-10-31,5.7337,2.2620310000000003,3.058866,1.137713,13.562614000000002,13.238000000000003,12.436,10.814333333333334,13.409612157451951,12.545344603396034,11.253243339566168
sh600000,2014-12-16,12.7,13.3,12.65,13.29,0.041536000000000003,438688005.0,5706439860.0,198323708080.0,247904635110.0,0.029397000000000003,110.33041000000001,2014-09-30,2014-10-31,5.400485,2.130572,2.8810990000000003,1.071595,12.77442,13.048000000000002,12.254000000000001,10.738666666666667,13.059418236177924,12.380644035332459,11.156404116048758
