date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2013-01-06,sh600000,10.1,10.26,9.93,10.02,0.010081000000000007,261436810.0,2633796691.0,149526226860.0,186907783580.0,0.017519313442267915,73.42051,2012-09-30,2012-10-31,5.5790370000000005,2.346218,0.9850530000000001,1.101442,8.500869
2013-01-13,sh600000,10.05,10.35,9.77,9.82,-0.019960342179895174,871732543.0,8816750564.0,146541671440.0,183177089300.0,0.05841624084221651,71.955011,2012-09-30,2012-10-31,5.467677,2.299386,0.965391,1.079456,8.331189
2013-01-20,sh600000,9.75,10.41,9.75,10.16,0.03462344069980894,765910415.0,7777271892.0,151615415660.0,189519269580.0,0.05132492486021656,74.446341,2012-09-30,2012-10-31,5.656987,2.3789990000000003,0.998816,1.116831,8.619644000000001
2013-01-27,sh600000,10.2,11.04,10.05,10.66,0.04921190360266747,986272749.0,10408052464.0,159076804230.0,198846005280.0,0.06609176966579548,78.109987,2012-09-30,2012-10-31,5.935378,2.496074,1.04797,1.171792,9.043833
2013-02-03,sh600000,10.66,11.97,10.65,11.95,0.12101171831059876,1030632378.0,11640002282.0,178327186730.0,222908983410.0,0.06906438184182978,87.562211,2012-09-30,2012-10-31,6.653629,2.7981279999999997,1.174786,1.313593,10.138242
2013-02-10,sh600000,11.98,12.27,11.06,11.34,-0.05104583368853188,1093331888.0,12812033817.0,169224292680.0,211530365850.0,0.07326597980447827,83.092525,2012-09-30,2012-10-31,6.313989,2.655295,1.114818,1.24654,9.620727
2013-02-24,sh600000,11.42,11.5,10.0,10.14,-0.10582075650885481,932157900.0,9938486893.0,151316960120.0,189146200150.0,0.062465444048731535,74.299611,2012-09-30,2012-10-31,5.6458379999999995,2.37431,0.9968469999999999,1.11463,8.602655
2013-03-03,sh600000,10.21,11.31,10.15,11.17,0.10157723032723132,961550325.0,10267744765.0,166687420560.0,208359275710.0,0.06443507910894748,81.84676,2012-09-30,2012-10-31,6.219326000000001,2.615486,1.0981040000000002,1.227851,9.476489
2013-03-10,sh600000,10.86,11.31,10.27,10.71,-0.04118178763493041,994843019.0,10752267216.0,159822943080.0,199778678850.0,0.06666607764916901,78.476164,2012-09-30,2012-10-31,5.963203,2.507775,1.0528819999999999,1.177286,9.08623
2013-03-17,sh600000,10.67,10.93,10.11,10.51,-0.01867375423356865,709862911.0,7436789757.0,156838387660.0,196047984570.0,0.04756908883036652,77.010719,2012-12-31,2013-03-14,5.7346010000000005,2.3722830000000004,2.1175990000000002,1.104487,8.916556
2013-03-24,sh600000,10.44,11.28,10.39,11.06,0.052330418460417194,826865424.0,9000588335.0,165045915080.0,206307393850.0,0.055409620922803396,81.040723,2012-12-31,2013-03-14,6.034695,2.496426,2.228414,1.162285,9.383163
2013-03-31,sh600000,11.13,11.24,9.68,10.13,-0.08408665493126344,758260763.0,7878667524.0,151167732350.0,188959665430.0,0.05081230901450379,74.226279,2012-12-31,2013-03-14,5.527258,2.28651,2.041034,1.064552,8.594164
2013-04-07,sh600000,10.06,10.2,9.94,10.06,-0.00690980998334545,248499426.0,2500820552.0,150123137950.0,187653922430.0,0.016652357922285223,73.71339,2012-12-31,2013-03-14,5.489065,2.27071,2.0269310000000003,1.057197,8.53478
2013-04-14,sh600000,9.87,10.12,9.7,9.94,-0.011928613943647748,295028555.0,2941013632.0,148332404690.0,185415505870.0,0.019770351885205456,72.834091,2012-12-31,2013-03-14,5.423588,2.243624,2.002753,1.044586,8.432972
2013-04-21,sh600000,9.94,10.19,9.42,10.14,0.02012166756017386,570413853.0,5565306078.0,151316960120.0,189146200150.0,0.038224376598849696,74.299635,2012-12-31,2013-03-14,5.532719999999999,2.288769,2.0430509999999997,1.065604,8.602657
2013-04-28,sh600000,10.11,10.29,9.77,9.88,-0.025640190812417862,464302364.0,4646980534.0,147437038060.0,184296297580.0,0.031113670056591748,72.39457800000001,2012-12-31,2013-03-14,5.39086,2.230085,1.9906669999999997,1.038282,8.382083999999999
2013-05-05,sh600000,9.77,10.17,9.66,10.01,0.013157499595999989,190041305.0,1884457353.0,149376999090.0,186721248860.0,0.01273498245806807,73.347109,2013-03-31,2013-04-27,5.337599,2.22038,1.617545,1.0054020000000001,8.492371
2013-05-12,sh600000,10.03,10.21,9.89,10.03,0.001998342401091202,347909080.0,3495970034.0,149675454630.0,187094318290.0,0.023313963408537267,73.49368199999999,2013-03-31,2013-04-27,5.348266000000001,2.224817,1.6207770000000001,1.007411,8.509342
2013-05-19,sh600000,10.02,10.28,9.84,10.24,0.020937188581163113,416220719.0,4184522354.0,152809237830.0,191011547290.0,0.027891639426286377,75.032433,2013-03-31,2013-04-27,5.460243,2.271398,1.654712,1.0285030000000002,8.687503
2013-05-26,sh600000,10.26,10.54,10.1,10.2,-0.0039055841487606324,465549839.0,4803892008.0,152212326750.0,190265408430.0,0.031197265419898063,74.739388,2013-03-31,2013-04-27,5.438918,2.262527,1.648249,1.024486,8.653574
2013-06-02,sh600000,10.21,10.62,10.18,10.47,0.026470641494243052,463713500.0,4858589230.0,156241476570.0,195301845720.0,0.031074209304626007,76.717787,2013-03-31,2013-04-27,5.582889,2.322418,1.6918790000000001,1.051605,8.882639
